model,name,missing_type,rho,dMAE,dACC,dF1,gainMAE,aware_mae,unaware_mae
ours_s42,MRF-Net（单种子 42）,text,0.2,-0.004503145813941956,-0.020260989010989022,-0.018906196703795453,9.909272193908691e-05,0.5817144364118576,0.5818135291337967
ours_s42,MRF-Net（单种子 42）,text,0.3,0.0013608932495117188,-0.027129120879120866,-0.02581028223543541,0.0002748817205429077,0.5875784754753113,0.5878533571958542
ours_s42,MRF-Net（单种子 42）,text,0.5,0.031099140644073486,-0.04567307692307693,-0.04423924401639873,0.0009316951036453247,0.617316722869873,0.6182484179735184
ours_s42,MRF-Net（单种子 42）,text,1.0,0.18135470151901245,-0.2664835164835165,-0.2941467570126336,0.002402067184448242,0.767572283744812,0.7699743509292603
ours_s42,MRF-Net（单种子 42）,text+audio,0.1,-0.0050319284200668335,-0.009958791208791173,-0.008810573147357947,3.847479820251465e-05,0.5811856538057327,0.5812241286039352
ours_s42,MRF-Net（单种子 42）,text+audio,0.2,-0.00415271520614624,-0.022321428571428575,-0.020655373182467907,8.26418399810791e-05,0.5820648670196533,0.5821475088596344
ours_s42,MRF-Net（单种子 42）,text+audio,0.3,0.0016926676034927368,-0.031249999999999972,-0.029120714278270315,0.00022388994693756104,0.5879102498292923,0.5881341397762299
ours_s42,MRF-Net（单种子 42）,text+audio,0.5,0.03206242620944977,-0.050137362637362654,-0.0479931195378096,0.0008506476879119873,0.6182800084352493,0.6191306561231613
ours_s42,MRF-Net（单种子 42）,text+audio,1.0,0.1823377013206482,-0.271978021978022,-0.300966580687716,0.0022426247596740723,0.7685552835464478,0.7707979083061218
ours_s42,MRF-Net（单种子 42）,text+audio+vision,0.1,-0.0037339776754379272,-0.008241758241758212,-0.0066843800573728185,5.0202012062072754e-05,0.5824836045503616,0.5825338065624237
ours_s42,MRF-Net（单种子 42）,text+audio+vision,0.2,-0.0019880682229995728,-0.01957417582417581,-0.01786498620359475,7.793307304382324e-05,0.5842295140028,0.5843074470758438
ours_s42,MRF-Net（单种子 42）,text+audio+vision,0.3,0.004601582884788513,-0.02987637362637363,-0.02707228732240688,0.00022308528423309326,0.5908191651105881,0.5910422503948212
ours_s42,MRF-Net（单种子 42）,text+audio+vision,0.5,0.03775957226753235,-0.057005494505494525,-0.05374205812139399,0.0007038265466690063,0.6239771544933319,0.6246809810400009
ours_s42,MRF-Net（单种子 42）,text+audio+vision,1.0,0.1954745650291443,-0.3255494505494506,-0.3566025141755344,0.0011482834815979004,0.7816921472549438,0.7828404307365417
ours_s42,MRF-Net（单种子 42）,vision,0.1,0.00024972856044769287,0.0003434065934065922,9.39483865290136e-05,5.710124969482422e-05,0.5864673107862473,0.5865244120359421
ours_s42,MRF-Net（单种子 42）,vision,0.2,0.0006467103958129883,-0.0013736263736263687,-0.0013782363939428277,4.7326087951660156e-05,0.5868642926216125,0.5869116187095642
ours_s42,MRF-Net（单种子 42）,vision,0.3,0.0009571164846420288,-0.002060439560439553,-0.0021104069315804608,6.882846355438232e-05,0.5871746987104416,0.587243527173996
ours_s42,MRF-Net（单种子 42）,vision,0.5,0.0020806193351745605,-0.0010302197802197766,-0.0015063232849569508,7.7858567237854e-05,0.5882982015609741,0.588376060128212
ours_s42,MRF-Net（单种子 42）,vision,1.0,0.0046797990798950195,-0.009615384615384581,-0.007962388375175156,-3.2067298889160156e-05,0.5908973813056946,0.5908653140068054
